Номер,Тип,Модель,Типоразмер,Диаметр ММ,Производительность м3/ч,Давление(па),Мощность(ВТ),Уровень шума,Цена в рублях
1098,ВЦ,ВЦ 14-46-2-АИР63В4-04-49,АИР63В4,200,539 - 1047,224 - 230,370,72,2700
1099,ВР,ВР 100-45-63-АИР112М4-18,АИР112М4,630,8276 - 16647,790 - 973,5500,83,27600
1100,ВЦ,ВЦ 14-46-5-АИР160S4-01-38,АИР160S4,500,9426 - 15478,2529 - 2897,15000,78,84900
1101,ВР,ВР 80-76-16-5АМ250М6-96,5АМ250М6,1600,59583 - 115213,1195 - 1916,55000,84,511200
1102,ВР,ВР 132-30-10-АИР200L4-37,АИР200L4,1000,29293 - 58030,1704 - 2143,45000,95,155000
1103,ВЦ,ВЦ 14-46-8-АИР200М8-02-28,АИР200М8,800,16549 - 25059,1163 - 1387,18500,83,122000
1104,ВЦ,ВЦ 6-28-63-АИР132М4-01-41,АИР132М4,630,7297 - 14359,917 - 1177,11000,89,33500
1105,ВЦ,ВЦ 14-46-5-АИР132S6-02-58,АИР132S6,500,5935 - 11748,924 - 1062,5500,73,28600
1106,ВО,"ВО 30-160 №12,5-02-32",АИР_22000,1250,63634 - 122512,210 - 282,22000,85,116400
1107,Ц,Ц 9-55-8-АИР160М4-02-70,АИР160М4,800,18757 - 37574,1225 - 1548,18500,85,68300
1108,ВЦ,ВЦ 14-46-63-АИР160М8-01-62,АИР160М8,630,10321 - 25815,943 - 1076,11000,83,86500
1109,Ц,Ц 9-55-125-АИР250S4-73,АИР250S4,1250,59491 - 116917,2415 - 3071,75000,93,419300
1110,ВР,ВР 12-26-4-АИР80В4-02-63,АИР80В4,400,1925 - 3690,270 - 340,1500,75,7800
1111,ВЦ,ВЦ 14-46-8-АИР250S6-01-22,АИР250S6,800,23155 - 35035,2696 - 3114,45000,94,220200
1112,ВО,ВО 14-320 №9-01-69,АИР_11000,900,36836 - 72843,244 - 324,11000,88,64200
1113,ВР,ВР 80-75-25-АИР63А2-03-29,АИР63А2,250,910 - 1743,303 - 516,370,71,4100
1114,ВР,ВР 100-45-8-АИР160М4-03-15,АИР160М4,800,19940 - 37258,1389 - 1749,18500,80,91500
1115,ВР,ВР 80-75-4-АИР100S2-01-88,АИР100S2,400,2685 - 7568,1288 - 2032,4000,78,24300
1116,ВР,ВР 100-45-5-АИР100L4-02-78,АИР100L4,500,4340 - 8361,625 - 834,4000,70,17800
1117,ВЦ,ВЦ 14-46-25-АИР71А4-04-40,АИР71А4,250,1056 - 1775,373 - 431,550,73,3800
1118,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,3240 - 21800,57 - 466,1100,81,104000
1119,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,3250 - 20000,59 - 420,15000,84,318200
1120,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,3280 - 23710,53 - 471,750,100,99900
1121,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2830 - 28190,50 - 476,250,102,76500
1122,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,3050 - 20160,53 - 430,750,104,92700
1123,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,3060 - 23770,59 - 445,15000,103,323600
1124,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2690 - 22870,57 - 444,4000,91,150900
1125,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,2720 - 26550,58 - 445,5500,77,174400
1126,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2350 - 29030,58 - 452,3000,71,126200
1127,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2370 - 26860,57 - 425,250,75,80600
1128,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2360 - 27150,59 - 448,370,71,86100
1129,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2530 - 20770,54 - 435,7500,70,198500
1130,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,3000 - 24090,60 - 460,2200,75,117900
1131,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,3290 - 25420,54 - 451,550,98,86000
1132,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,3140 - 24830,56 - 455,3000,100,118700
1133,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2920 - 27180,51 - 401,250,97,76000
1134,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2880 - 20680,52 - 440,750,89,96400
1135,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2460 - 25100,60 - 475,11000,74,266400
1136,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,3310 - 25490,52 - 423,1100,84,90400
1137,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2730 - 20680,52 - 414,750,88,96100
1138,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2260 - 20770,61 - 467,11000,93,250600
1139,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2480 - 29760,60 - 425,250,85,90100
1140,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,3010 - 22740,60 - 406,11000,91,248400
1141,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,2900 - 23490,55 - 431,15000,72,316600
1142,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,3090 - 27760,54 - 412,11000,86,267000
1143,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,2870 - 22840,52 - 480,250,90,81600
1144,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2220 - 21090,59 - 446,1500,71,103000
1145,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2870 - 27470,52 - 456,11000,99,261300
1146,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2580 - 22740,59 - 425,180,91,81000
1147,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,3200 - 23520,50 - 424,4000,99,134500
1148,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2330 - 24750,57 - 475,5500,98,165500
1149,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,2770 - 22130,52 - 481,370,77,91200
1150,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2880 - 22740,58 - 402,1100,80,92900
1151,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,2350 - 20930,56 - 424,7500,82,194400
1152,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,3140 - 21540,51 - 432,750,78,84900
1153,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,3090 - 20150,51 - 461,15000,82,329600
1154,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,2820 - 22910,59 - 402,550,104,94700
1155,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2370 - 26190,51 - 439,1500,87,99200
1156,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,2220 - 28670,60 - 454,550,88,90100
1157,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2310 - 25950,55 - 475,1500,105,95700
1158,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2920 - 21820,54 - 415,750,92,87600
1159,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,3140 - 24490,57 - 444,550,78,81700
1160,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2470 - 26210,58 - 487,750,87,84200
1161,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2740 - 25140,55 - 419,5500,99,179000
1162,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2620 - 25000,52 - 410,15000,77,315900
1163,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2320 - 28800,59 - 454,4000,90,145000
1164,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,3210 - 22540,60 - 457,750,78,87100
1165,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2580 - 26070,53 - 464,3000,72,120400
1166,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2910 - 25860,59 - 409,2200,86,105800
1167,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,2490 - 22220,59 - 400,550,86,84800
1168,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2660 - 22980,53 - 468,15000,95,325300
1169,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,2680 - 22360,57 - 459,180,97,86600
1170,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,3000 - 22340,52 - 417,750,94,99300
1171,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2750 - 23660,55 - 402,550,93,78700
1172,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,3210 - 23810,58 - 479,7500,87,193400
1173,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,3270 - 25670,59 - 461,2200,100,113500
1174,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,3070 - 27810,59 - 447,1500,90,113300
1175,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,3250 - 21180,55 - 433,2200,102,116900
1176,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2570 - 22550,51 - 486,180,71,92100
1177,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2910 - 27720,53 - 476,750,97,100400
1178,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,3110 - 23300,59 - 425,7500,97,206700
1179,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,2220 - 21940,53 - 422,370,103,80800
1180,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2510 - 28360,60 - 428,180,88,85200
1181,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,3190 - 25190,58 - 415,370,91,80700
1182,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2620 - 28490,53 - 414,1100,82,99800
1183,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,3260 - 25140,51 - 413,750,96,87400
1184,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2710 - 29260,58 - 459,180,100,75300
1185,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2900 - 25740,52 - 428,3000,74,134200
1186,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2380 - 28780,57 - 448,550,85,78800
1187,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,3220 - 25500,57 - 404,370,102,86500
1188,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2770 - 26430,51 - 469,250,74,89400
1189,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2400 - 23590,55 - 471,5500,94,172800
1190,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,3120 - 26380,56 - 410,15000,78,314900
1191,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,3300 - 29430,59 - 445,4000,98,135600
1192,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,2760 - 27060,55 - 469,180,72,72700
1193,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2880 - 22140,60 - 443,2200,88,111200
1194,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2950 - 24140,53 - 415,1500,71,109200
1195,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2680 - 25140,50 - 479,750,102,102100
1196,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,2720 - 28650,56 - 450,370,98,77900
1197,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,3080 - 27340,50 - 461,2200,86,112600
1198,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2490 - 23990,51 - 460,180,97,87400
1199,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2500 - 22860,50 - 483,180,101,73100
1200,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2540 - 25840,55 - 460,15000,102,332300
1201,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,3200 - 23700,50 - 456,1100,104,93000
1202,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,3310 - 22060,54 - 458,250,76,81700
1203,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2810 - 26840,57 - 417,370,74,92400
1204,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,2790 - 25230,52 - 437,15000,79,326100
1205,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,3040 - 20270,59 - 462,1100,85,91800
1206,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2910 - 20900,54 - 401,15000,73,314400
1207,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2550 - 29490,58 - 429,250,85,88600
1208,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,2870 - 21050,58 - 470,15000,85,321500
1209,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2660 - 22580,53 - 417,3000,73,125300
1210,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2350 - 21160,51 - 438,1500,88,109800
1211,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2470 - 25030,60 - 404,5500,95,178000
1212,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2440 - 27540,59 - 447,11000,88,253700
1213,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2650 - 29790,58 - 475,250,95,80100
1214,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,2820 - 20150,59 - 460,1100,75,90000
1215,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,3200 - 23580,57 - 427,11000,104,252700
1216,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2600 - 26410,58 - 422,15000,99,324900
1217,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2870 - 24430,50 - 483,4000,88,136000
1218,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2320 - 21450,50 - 473,15000,89,330000
1219,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2230 - 20400,51 - 440,250,92,91100
1220,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,3230 - 24520,50 - 468,15000,86,312100
1221,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,3160 - 25790,59 - 486,1100,90,88100
1222,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2940 - 24760,53 - 415,7500,93,199700
1223,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2820 - 20330,58 - 414,7500,83,201400
1224,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,3100 - 20110,56 - 473,750,96,91000
1225,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,3070 - 26910,58 - 431,250,82,82900
1226,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,3200 - 23630,50 - 413,550,91,78100
1227,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2850 - 29460,56 - 482,2200,74,110900
1228,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,3170 - 24220,54 - 460,11000,84,256700
1229,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,3290 - 28380,52 - 416,550,83,87800
1230,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,2670 - 25800,59 - 422,15000,90,324200
1231,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2330 - 29770,57 - 471,2200,80,107800
1232,ВКОП,ВКОП 30-160-050-4,ВКОП 30-160-050,500,2860 - 22540,50 - 481,1100,77,88000
1233,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,3310 - 24160,52 - 418,5500,75,177400
1234,ВКОП,ВКОП 30-160-050-3,ВКОП 30-160-050,500,3290 - 20770,54 - 432,5500,78,167500
1235,ВКОП,ВКОП 30-160-050-5,ВКОП 30-160-050,500,2260 - 24370,53 - 430,11000,71,260800
1236,ВКОП,ВКОП 30-160-050-2,ВКОП 30-160-050,500,3290 - 29490,51 - 425,180,92,81800
1237,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2670 - 20790,56 - 472,750,95,90100
1238,ВКОП,ВКОП 30-160-050-1,ВКОП 30-160-050,500,2680 - 23800,51 - 404,3000,102,130400
1239,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3280 - 23540,57 - 507,1500,99,118800
1240,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,2490 - 32230,61 - 523,750,86,107800
1241,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,2620 - 31940,60 - 520,3000,99,126300
1242,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,2760 - 31350,62 - 483,370,100,88300
1243,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,3270 - 32530,67 - 482,11000,88,270800
1244,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,3040 - 23950,68 - 519,4000,75,146300
1245,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,2790 - 27490,67 - 450,5500,97,180000
1246,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,3690 - 26370,66 - 546,2200,72,125200
1247,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,3570 - 31400,57 - 479,250,89,82700
1248,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,2910 - 27870,62 - 502,180,71,91800
1249,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,2840 - 25890,62 - 498,5500,73,183100
1250,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3630 - 29780,67 - 456,1500,75,113700
1251,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,2960 - 31070,66 - 480,370,99,85200
1252,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,2600 - 28790,56 - 537,370,78,85500
1253,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,2500 - 23140,59 - 508,15000,74,320900
1254,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,2860 - 30550,64 - 504,1500,98,105900
1255,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3390 - 28390,62 - 543,11000,72,261600
1256,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,2790 - 29180,67 - 517,7500,86,213100
1257,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,3600 - 30320,60 - 479,250,80,98500
1258,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,2840 - 27060,67 - 544,3000,95,137100
1259,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,2540 - 29170,60 - 504,5500,76,166700
1260,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3510 - 31970,65 - 453,7500,78,210800
1261,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,2520 - 33040,58 - 471,15000,86,339200
1262,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,2840 - 28000,62 - 537,15000,94,323800
1263,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,2800 - 24290,60 - 528,750,73,95300
1264,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,2980 - 27700,63 - 474,2200,105,123800
1265,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3110 - 27260,62 - 448,180,92,93800
1266,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,2660 - 24040,65 - 500,370,102,96700
1267,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,3570 - 31320,56 - 500,750,70,88000
1268,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,3320 - 24620,59 - 470,11000,73,253200
1269,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,3330 - 28350,59 - 448,11000,77,262500
1270,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3320 - 33260,61 - 505,4000,79,152100
1271,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3010 - 22670,67 - 449,7500,76,213300
1272,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,2760 - 27350,61 - 516,11000,99,268600
1273,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,2940 - 25340,65 - 471,5500,97,170100
1274,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,2870 - 31180,68 - 449,1100,81,93800
1275,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,3580 - 25430,66 - 530,370,96,100000
1276,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,3320 - 30950,59 - 453,370,87,96600
1277,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,2680 - 23620,63 - 515,4000,99,147200
1278,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3230 - 31330,58 - 538,370,77,102400
1279,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3050 - 24590,67 - 543,550,98,101100
1280,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,3490 - 30470,59 - 464,180,72,83500
1281,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,3220 - 23500,58 - 465,5500,94,166300
1282,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3140 - 29090,62 - 448,370,79,97200
1283,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,3290 - 32760,59 - 547,15000,104,325100
1284,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,2660 - 26460,56 - 474,550,101,102400
1285,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3260 - 29010,59 - 474,750,101,91800
1286,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,3300 - 29200,58 - 455,250,70,90000
1287,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3640 - 27350,63 - 480,750,104,88200
1288,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,2960 - 25610,58 - 470,7500,84,198700
1289,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,2510 - 24520,66 - 529,7500,85,198300
1290,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,2730 - 22720,64 - 496,1500,75,99700
1291,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,3030 - 31740,61 - 450,1500,96,110500
1292,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3400 - 27530,64 - 519,3000,81,124300
1293,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,2660 - 23590,59 - 519,5500,71,176900
1294,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3310 - 27380,68 - 527,11000,70,262900
1295,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,2740 - 26420,63 - 469,4000,99,152600
1296,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3000 - 27240,66 - 461,5500,74,165000
1297,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3400 - 26730,58 - 455,370,97,83300
1298,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3360 - 27300,67 - 521,180,72,94800
1299,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,2540 - 32410,60 - 454,250,102,84400
1300,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,2700 - 31490,57 - 514,370,91,100800
1301,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,3160 - 28260,59 - 500,3000,101,134100
1302,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3380 - 23560,67 - 502,550,85,91200
1303,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3620 - 26760,61 - 484,11000,105,273100
1304,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,2950 - 31460,66 - 469,550,73,91500
1305,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,3070 - 31020,62 - 529,5500,83,168600
1306,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3300 - 23780,67 - 449,15000,102,336800
1307,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,3270 - 26180,67 - 467,750,84,101700
1308,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,3220 - 26820,58 - 517,2200,76,116000
1309,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,3590 - 27880,56 - 475,180,99,84900
1310,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,3020 - 26490,58 - 544,370,71,88700
1311,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3640 - 24960,59 - 494,15000,71,329400
1312,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,2790 - 31550,59 - 475,15000,103,326400
1313,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3530 - 30870,64 - 457,1500,89,109900
1314,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3190 - 24080,66 - 511,1500,78,100700
1315,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3170 - 27110,65 - 480,3000,82,140000
1316,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,2910 - 24160,64 - 486,1500,77,111600
1317,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3360 - 33100,56 - 495,1100,81,112300
1318,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3360 - 27650,61 - 454,250,89,94000
1319,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3370 - 29900,58 - 492,7500,91,206300
1320,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,3400 - 27390,62 - 531,1500,81,102200
1321,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3170 - 30950,66 - 473,3000,99,138200
1322,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,3190 - 33300,62 - 505,370,105,95700
1323,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,2900 - 28090,59 - 462,250,90,93300
1324,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,3030 - 31400,58 - 469,3000,78,137800
1325,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3690 - 31450,59 - 526,4000,95,155100
1326,ВКОП,ВКОП 30-160-056-4,ВКОП 30-160-056,560,3080 - 27060,58 - 487,5500,80,166300
1327,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,3270 - 26050,66 - 463,4000,83,149900
1328,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,2600 - 26440,56 - 539,180,96,88700
1329,ВКОП,ВКОП 30-160-056-5,ВКОП 30-160-056,560,3090 - 26980,66 - 538,180,96,91700
1330,ВКОП,ВКОП 30-160-056-1,ВКОП 30-160-056,560,2560 - 31540,62 - 462,2200,84,114000
1331,ВКОП,ВКОП 30-160-056-3,ВКОП 30-160-056,560,3100 - 27480,66 - 541,550,71,101200
1332,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,3130 - 26150,64 - 476,4000,84,156700
1333,ВКОП,ВКОП 30-160-056-2,ВКОП 30-160-056,560,3200 - 22460,61 - 512,7500,87,201700
